GEO_ID,NAME,S1501_C01_015E
24001,"Allegany County, Maryland",9428
24003,"Anne Arundel County, Maryland",164303
24005,"Baltimore County, Maryland",226425
24009,"Calvert County, Maryland",20269
24011,"Caroline County, Maryland",4152
24013,"Carroll County, Maryland",42417
24015,"Cecil County, Maryland",16976
24017,"Charles County, Maryland",30913
24019,"Dorchester County, Maryland",4880
24021,"Frederick County, Maryland",70751
24023,"Garrett County, Maryland",4497
24025,"Harford County, Maryland",64164
24027,"Howard County, Maryland",134698
24029,"Kent County, Maryland",4895
24031,"Montgomery County, Maryland",422553
24033,"Prince George's County, Maryland",203856
24035,"Queen Anne's County, Maryland",12801
24037,"St. Mary's County, Maryland",23702
24039,"Somerset County, Maryland",2456
24041,"Talbot County, Maryland",11338
24043,"Washington County, Maryland",23046
24045,"Wicomico County, Maryland",17576
24047,"Worcester County, Maryland",11440
24510,"Baltimore city, Maryland",135188
